item,ubicacion,item_descripcion,en_cajas,sueltos,total,inventario_actual,diferencia
7013,Almacen - M,JVM16 -32  16A 1P+N C-TYPE AUT,0,2,2,259,-257
1106,Almacen - Y,WALLPLATE AM ENK RP  2131W,25,17,42,298,-256
1734,Almacen - L,ETI AARDLEK AUTOM 1P+N16A B 30,0,3,3,258,-255
3272,Almacen - Z,PICKENS T8 1.20M LED 22W 6500K,0,18,18,270,-252
4032,Almacen - C,DOUBLE HORIZONTAL FRAME 70921,0,8,8,260,-252
3202,Almacen - E,HALOGEENLAMP 1000W 127 VOLT,0,83,83,333,-250
0364,Deposit N4 - D10,CABLE CLIPS   7  mm,0,10100,10100,10349,-249
1109,Almacen - Y,WALLPLATE AM DECO 2151W,125,5,130,378,-248
0620,Almacen - Z,KOP K2,50,3,53,299,-246
0446,Almacen - O,PERSKABELSCHOEN  95  mm  M10,60,12,72,315,-243
4146,Deposit N1 - B6,COV PLATE EARTH SOCKET90631TPM,504,0,504,747,-243
0386,Almacen - N,TYRAPS BRN 380 X 7.6,0,58,58,300,-242
1734,Deposit N2 - B6,ETI AARDLEK AUTOM 1P+N16A B 30,17,0,17,258,-241
0419,Almacen - O,PERSKABELSCHOEN 120 mm  M12,0,11,11,251,-240
0519,Almacen - F,CENTRAALDOOS ROND 100MM C100,0,35,35,275,-240
7006,Almacen - M,JVL16 -63  63A 4P 30mA AARDLEK,0,1,1,239,-238
1010,Almacen - W,DIMMER SCHUIF  SI061W / 6422,70,1,71,308,-237
3490,Almacen - L,ETI 3901087 BRIDGING MP124/6,0,2,2,238,-236
0108,Deposit N4 - D12,VD DRAAD  6  mm  ZWART,0,3,3,236,-233
1554,Almacen - J,"GE  AUTOMAAT 16A, 1P+N C-KAR",0,1,1,234,-233
0144,Deposit N4 - D11,VDS DRAAD FLEX 25 mm GR/GL-K,0,1,1,232,-231
0482,Deposit N3 - C5,TOPDOOS DUBB RECHT 4208-D,0,0,0,230,-230
4005,Almacen - B,DOUBLE TWO WAY SWITCH 21101,0,1,1,228,-227
1009,Deposit N3 - B7,SCHAK AM TRI DECO        7729W,320,0,320,546,-226
04332,Almacen - O,VERBINDINGSBUS 240 mm,0,6,6,231,-225
1015,Almacen - V,SCHAK DECO COMB &WCD 7730W,20,0,20,243,-223
0568,Almacen - H,CONEX STEEKKLEM 2-VOUDIG,1300,0,1300,1522,-222
1000,Almacen - V,SCHAK AM WIS  DUB 276W,40,3,43,264,-221
0322,Almacen - E,"BUISBEVESTIGING 1.5"" POLFIX",0,50,50,270,-220
1132,Almacen - Y,WALLPLATE AM DUB WD S2962 GRAY,40,1,41,261,-220
7160,Almacen - G,RUBBER STEKKER 5706C,0,8,8,228,-220
0145,Deposit N4 - D16,VDS DRAAD FLEX 35 mm ZWART,0,2,2,221,-219
0494,Almacen - P,KABELDOOS EV111(18300),0,9,9,228,-219
1100,Almacen - Y,WALLPLATE AM SW (INB) 2134W,170,3,173,392,-219
4040,Almacen - B,SINGLE POLE SWITCH 37011 OPB,0,1,1,220,-219
4005,Deposit N1 - B5,DOUBLE TWO WAY SWITCH 21101,11,0,11,228,-217
0439,Deposit N4 - B2,PERSKABELSCHOEN  25  mm  M6,900,0,900,1116,-216
1314,Deposit N3 - C8,"AARDKLEM  1 """,0,202,202,418,-216
0482,Almacen - Q,TOPDOOS DUBB RECHT 4208-D,0,15,15,230,-215
7160,Deposit N3 - A1,RUBBER STEKKER 5706C,17,0,17,228,-211
0558,Deposit N4 - A9,PG+MOER M50,60,0,60,270,-210
1328,Almacen - O,MOERKLEM APC 16/16,0,4,4,214,-210
1712,Deposit N2 - B1,ETI  AUTOMAAT6KA 20A 1P+N CKAR,10,10,20,229,-209
4010,Almacen - C,MONO DOUBLE EARTH SOCKET 70331,0,7,7,216,-209
1121,Almacen - U,WALLPLATE AM DUB RP 2132V,0,6,6,213,-207
0143,Deposit N4 - D4,VDS DRAAD FLEX 25 mm BLAUW,0,1,1,207,-206
1111,Almacen - Z,WALLPLATE AM TELPH. C 3532-4W,15,15,30,236,-206
0285,Deposit N1 - C4,KABELGOOT 10x8 mm,0,113,113,317,-204
0554,Almacen - G,PG 36,0,24,24,228,-204
4018,Almacen - C,DOUBLE ROCKERS 70611,0,19,19,223,-204
7158,Almacen - E,OPB.STOPCONTACT WD 3160,0,11,11,215,-204
0435,Deposit N4 - B2,PERSKABELSCHOEN  10  mm  M8,2400,0,2400,2603,-203
0518,Deposit N3 - D5,CENTRAALDOOS ROND 80MM C80,200,0,200,402,-202
1117,Almacen - V,WALLPLATE AM TRI SW       953V,80,2,82,283,-201
1407,Almacen - F,BERKER WIPSCHAK  2P 613032,0,62,62,263,-201
0362,Deposit N4 - D14,CABLE CLIPS   5  mm,0,29500,29500,29700,-200
0385,Almacen - N,TYRAPS  BRN 250 X 7.6,700,0,700,900,-200
0470,Almacen - O,CP-25 PIN PERSKABELSCHOEN 25MM,0,130,130,329,-199
0524,Deposit N3 - E,CENTRDOOS ROND 12X16/19/20MM,840,0,840,1039,-199
4002,Almacen - B,TWO CIRCUITS SWITCH 21061,0,1,1,200,-199
1549,Almacen - J,"GE  AUTOMAAT 16A, 2POL B-KAR",0,62,62,260,-198
7158,Deposit N3 - A1,OPB.STOPCONTACT WD 3160,17,0,17,215,-198
3258,Deposit N1 - A5,LED TUBE 10W 4000K 60cm,6,11,17,214,-197
4106,Deposit N1 - B3,COVER PLATE - TELEPHONE 90712,0,0,0,195,-195
1100,Deposit N3 - B4,WALLPLATE AM SW (INB) 2134W,200,0,200,392,-192
0318,Almacen - M,"BOCHT 2""",0,12,12,203,-191
0451,Almacen - O,PERSKABELSCHOEN  50  mm  M8,80,0,80,271,-191
1329,Almacen - O,MOERKLEM APC 25/25,0,1,1,192,-191
1331,Almacen - O,MOERKLEM APC 50/50,0,3,3,194,-191
4111,Deposit N1 - C2,SINGLE FRAME 90910 TBR,9,10,19,210,-191
0421,Almacen - O,PERSKABELSCHOEN  240 mm M12,0,6,6,196,-190
0525,Almacen - Q,CENTRAALDOOS DEKSEL 3506,0,252,252,442,-190
1128,Almacen - Z,WALLPLATE AM DUB WD S2962 W-SP,40,15,55,244,-189
0315,Almacen - P,MOFFEN 2'',16,2,18,206,-188
0490,Deposit N3 - C9,TREKDOOS                4202-D,200,0,200,387,-187
1717,Deposit N2 - B2,ETI AUTOMAAT 6KA 2P 16A B KAR,20,0,20,207,-187
3229,Deposit N1 - B1,TL-ORNEMENT LED 1x18W WD LEEG,20,0,20,207,-187
0402,Almacen - O,KABEL EINDHULSJES 10 mm,300,0,300,485,-185
0493,Almacen - P,KABELDOOS EP088 (18100),0,22,22,206,-184
0531,Deposit N3 - D10,UNIVERSEEL LASDOOS    3611,700,0,700,883,-183
0159,Deposit N4 - D4,VDS H07V-K FLEX 50 mm BLAUW,0,2,2,184,-182
0433,Almacen - O,VERBINDINGSBUS 95 mm,0,17,17,197,-180
04331,Almacen - O,VERBINDINGSBUS 120 mm,40,9,49,229,-180
3281,Deposit N3 - D12,BALLAST 1x20W STARTER,1,0,1,181,-180
0421,Deposit N4 - B10,PERSKABELSCHOEN  240 mm M12,10,9,19,196,-177
1131,Almacen - X,WALLPLATE AM DUB WD  S1962,10,2,12,188,-176
0555,Almacen - G,PG 48,0,39,39,214,-175
1713,Almacen - K,ETI  AUTOMAAT6KA 25A 1P+N CKAR,0,8,8,178,-170
0502,Deposit N3 - B5,LASDOOS TOP T  R DUBB 3210,300,0,300,469,-169
1120,Deposit N3 - B10,WALLPLATE AM ENK RP 2131V,275,0,275,444,-169
1196,Deposit N3 - A1,WCD EUR ENK R/A OPB WD KOPP,11,0,11,180,-169
1713,Deposit N2 - B1,ETI  AUTOMAAT6KA 25A 1P+N CKAR,10,0,10,178,-168
1311,Deposit N3 - D8,"AARDKLEM 3/8""",0,0,0,167,-167
4034,Deposit N1 - B7,4- GANG HORIZONTAL FRAME 70941,264,0,264,430,-166
0621,Almacen - Z,KOP K3,0,16,16,180,-164
1002,Almacen - V,SCHAK AM ENK POL 271W,30,3,33,195,-162
3332,Almacen - Q,PICKENS 18 WATT 6500K LED SPOT,0,1,1,162,-161
7078,Deposit N3 - A2,ADER EINDHULS 50mm E5020,4100,0,4100,4261,-161
0540,Deposit N3 - C5,INZ.STK KABELDOOS3640 19mm3529,300,0,300,460,-160
1039,Almacen - U,WCD AM OPB DUB 220V R/A  74V,50,14,64,224,-160
1330,Almacen - O,MOERKLEM APC 35/35,0,1,1,161,-160
1430,Almacen - F,BERKER AFDICHTFLENS  V WD 1884,0,21,21,181,-160
0324,Almacen - O,BOCHT PVC  5/8 CRÈME,75,0,75,234,-159
0468,Deposit N4 - B6,CP-10 PIN PERSKABELSCHOEN 10MM,700,0,700,858,-158
0583,Deposit N3 - C7,KROONKLEMSTROOK  16 mm2,145,0,145,303,-158
0447,Almacen - O,PERSKABELSCHOEN  120  mm  M10,0,9,9,166,-157
7016,Almacen - M,JVM16 -32  32A 1P+N C-TYPE AUT,0,2,2,158,-156
7000,Almacen - M,JVD16 - 63   40A 4P SCHAKELAAR,0,2,2,157,-155
1301,Almacen - R,UNIMAX KLEM 50/10-50 mm,0,3,3,157,-154
1302,Almacen - Q,BADKAMER RAIL 6x6+1x25 mm,0,25,25,179,-154
0992,Almacen - Z,STRAP 2 PORTMOD-5522-5EW DECOR,0,35,35,188,-153
1406,Almacen - E,BERKER WIPSCHAK SERIE 613035,0,12,12,164,-152
0505,Almacen - Q,CD/RV RONDE DEKSEL CENTRAL,0,85,85,236,-151
4043,Almacen - B,DOUBLE 2-WAY SWITCH  37101 OPB,0,19,19,169,-150
7100,Almacen - E,PL-U 2pins 7W 127v/6400k,0,48,48,198,-150
0547,Deposit N4 - A5,PG+MOER M16,650,0,650,798,-148
1311,Almacen - R,"AARDKLEM 3/8""",0,19,19,167,-148
4107,Deposit N1 - C2,COVER PLATE- EARTH SOCKET90631,800,4,804,952,-148
0501,Deposit N3 - B5,LASDOOS TOP T DOOS L DUBB3211,500,0,500,647,-147
1750,Almacen - L,ETI  MAGNEET SCHAKELAAR 2P 20A,0,1,1,148,-147
0514,Almacen - A,MONTAGEDEKSEL GRIJS 3640/D,0,5,5,151,-146
10101,Almacen - V,DIMMER  WISS SI06P-W /SUL06P-W,20,2,22,168,-146
1031,Almacen - Z,WCD AM INB ENK USB PORT TR7740,36,5,41,187,-146
1750,Almacen - K,ETI  MAGNEET SCHAKELAAR 2P 20A,0,2,2,148,-146
0559,Deposit N4 - A9,PG+MOER M63,120,0,120,264,-144
0559,Deposit N4 - B12,PG+MOER M63,120,0,120,264,-144
0432,Almacen - O,VERBINDINGSBUS 70 mm,0,45,45,187,-142
0488,Almacen - Q,KABELDOOS 221A,0,1,1,143,-142
1112,Almacen - Y,WALLPLATE AM COAX C 1172W,0,4,4,146,-142
1142,Deposit N3 - B6,STEK RUB P/A 127V         1709,600,0,600,741,-141
3228,Almacen - Z,TL-ORNEMENT LED 1x9W WD LEEG,0,1,1,141,-140
3332,Deposit N3 - C4,PICKENS 18 WATT 6500K LED SPOT,24,0,24,162,-138
3500,Deposit N2 - D6,ETI 3901068 TERMINAL VS 6 IVOR,0,0,0,138,-138
0416,Deposit N4 - B6,PERSKABELSCHOEN 50  mm  M10,640,0,640,775,-135
1238,Almacen - H,STEKKER WIT vinckier,0,50,50,185,-135
3124,Deposit N3 - C4,REFLECTOR LED 200W 18000LM,20,0,20,155,-135
0703,Almacen - A,ATT MONTAGEDEKSEL 2X WCD 1623,0,5,5,139,-134
3281,Deposit N4 - D4,BALLAST 1x20W STARTER,0,47,47,181,-134
0353,Deposit N3 - D7,ZADELS ROOD 25mm (1duim),3150,0,3150,3283,-133
3229,Deposit N4 - C5,TL-ORNEMENT LED 1x18W WD LEEG,75,0,75,207,-132
0345,Deposit N3 - D7,ZADELS 9-10 mm VERT,13500,0,13500,13631,-131
3124,Deposit N3 - D12,REFLECTOR LED 200W 18000LM,24,0,24,155,-131
3206,Almacen - D,HALOGEENLAMP 1500W 220 VOLT,0,1,1,132,-131
7166,Almacen - G,TERMOPLASTIC CONTRA 5019,0,9,9,140,-131
7166,Deposit N3 - A1,TERMOPLASTIC CONTRA 5019,9,0,9,140,-131
0323,Deposit N3 - D12,"BUISBEVESTIGING 1"" POLFIX",600,0,600,730,-130
1427,Almacen - F,BERKER CENTR-STK DATA 11818989,0,2,2,132,-130
3532,Almacen - E,New-3667708Cat6A keystone jack,0,6,6,136,-130
4032,Deposit N1 - B8,DOUBLE HORIZONTAL FRAME 70921,130,0,130,260,-130
0470,Deposit N4 - B6,CP-25 PIN PERSKABELSCHOEN 25MM,200,0,200,329,-129
0526,Deposit N3 - D8,MONTAGEDEKSEL+WCD3611W1,200,0,200,329,-129
0584,Almacen - H,KROONKLEMSTROOK  25 mm2,0,28,28,157,-129
1323,Deposit N3 - E,AARDDRAAD BC 25 mm2,0,1,1,130,-129
4000,Deposit N1 - B5,SINGEL POLE SWITCH 21011,180,0,180,308,-128
3124,Deposit N3 - C8,REFLECTOR LED 200W 18000LM,28,0,28,155,-127
3124,Deposit N3 - D8,REFLECTOR LED 200W 18000LM,28,0,28,155,-127
1127,Almacen - Z,WALLPLATE AM DUB WD S2966 W-SP,10,9,19,145,-126
3229,Deposit N1 - A1,TL-ORNEMENT LED 1x18W WD LEEG,81,0,81,207,-126
0325,Almacen - O,BOCHT PVC  3/4 CRÈME,75,10,85,210,-125
1316,Deposit N3 - D8,VERBINDING RAIL 2x6+1x25 mm,0,5,5,130,-125
1327,Almacen - O,MOERKLEM APC 10/6,0,15,15,140,-125
3037,Almacen - S,TAPE 25 mtr GR/GL,20,4,24,149,-125
7011,Almacen - M,JVM16 -32  20A 1P+N B-TYPE AUT,12,4,16,141,-125
1025,Almacen - U,WCD AM INB EN 220V R/A 1876W,50,6,56,180,-124
0141,Deposit N4 - D7,VDS DRAAD FLEX 16mm GR/GL,0,1,1,124,-123
0603,Deposit N3 - C3,PASMOER 35A,0,0,0,122,-122
7039,Almacen - M,JVT3-16D TIMER,2,1,3,125,-122
7077,Deposit N3 - A2,ADER EINDHULS 35mm E3516,8800,0,8800,8922,-122
0474,Almacen - O,PERSKABELSCHOEN SMALL 95-10MM,0,1,1,122,-121
0391,Almacen - G,MONTAGEBAND 17mm,0,4,4,124,-120
4287,Deposit N1 - B7,Q45 MOD ADAPTER 2 MOD 10950ABR,40,0,40,160,-120
4025,Almacen - B,COVER PLATE  SINGLE RJ45 70751,0,8,8,127,-119
0148,Deposit N4 - D4,VDS DRAAD FLEX 50 mm ZWART,0,1,1,119,-118
1038,Almacen - U,WCD AM OPB DUB R/A         78V,40,5,45,163,-118
4105,Deposit N1 - C3,COVER PLATE SINGLE RJ45 90751,80,0,80,197,-117
7021,Almacen - M,JVM19 -63  25A 2P C-TYPE AUTOM,0,2,2,119,-117
1008,Almacen - W,SCHAK AM DUB DECO       7728W,0,8,8,124,-116
4046,Almacen - C,SINGLE POLE SWITCH 48011 OP WD,0,3,3,119,-116
0390,Almacen - G,MONTAGEBAND 12mm,0,8,8,123,-115
0445,Deposit N4 - B6,PERSKABELSCHOEN  70  mm  M12,240,20,260,375,-115
1309,Almacen - R,"AARDKLEM 1/8""",0,11,11,126,-115
3500,Almacen - K,ETI 3901068 TERMINAL VS 6 IVOR,0,23,23,138,-115
4015,Almacen - B,TELEPHONE SOCKET 21252,0,9,9,124,-115
0528,Almacen - A,MONTAGEDEKSEL+WCD3640W4,0,1,1,115,-114
10090,Almacen - W,SCHAK DUB  WISSEL DECO 7731W,40,8,48,162,-114
4201,Deposit N4 - C8,KABELGOOT 16X10MM 10020 FBR,0,27,27,141,-114
0318,Deposit N3 - D9,"BOCHT 2""",90,0,90,203,-113
1403,Deposit N2 - C3,BERKER WCD 127V  INB  WD 4202,9,0,9,122,-113
1415,Almacen - E,BERKER AFDEKRAAM  5V  10158989,0,1,1,114,-113
1010,Deposit N3 - B6,DIMMER SCHUIF  SI061W / 6422,200,0,200,308,-108
0603,Almacen - Z,PASMOER 35A,0,15,15,122,-107
1126,Almacen - Y,WALLPLATE AM DUB WD S1962 W-SP,0,9,9,116,-107
3263,Deposit N3 - D3,PICKENS 6W LED BULB 6500 K,400,0,400,507,-107
7043,Almacen - M,JVL5-40 16A 1P+N - C 30mA,10,0,10,117,-107
0625,Almacen - Z,KSV PATRONEN   35A NH 00,21,1,22,128,-106
1223,Deposit N3 - A2,KOPP WCD EUR DUB R/AOPB 74108,19,0,19,125,-106
1316,Almacen - Q,VERBINDING RAIL 2x6+1x25 mm,20,4,24,130,-106
1405,Almacen - F,BERKER WIPSCHA UIT/WISS 613036,0,4,4,110,-106
3506,Almacen - K,ETI 3901101 TERMINAL VS10 IVOR,0,25,25,131,-106
0313,Almacen - P,"MOFFEN   1""",125,2,127,232,-105
0452,Deposit N4 - B6,PERSKABELSCHOEN  95  mm  M8,320,0,320,424,-104
0636,Almacen - Z,KSV PATRONEN  80A NH 1,0,1,1,105,-104
10092,Almacen - V,SCHAK AM KRS DECO        7504W,40,1,41,145,-104
0318,Deposit N3 - D11,"BOCHT 2""",100,0,100,203,-103
1418,Almacen - F,BERKER AFDEKPL SERIE 16238989,0,10,10,113,-103
3124,Deposit N3 - D4,REFLECTOR LED 200W 18000LM,52,0,52,155,-103
4200,Deposit N1 - C4,KABELGOOT 12x7MM 10010 FBR,3,0,3,106,-103
0326,Deposit N3 - D12,"POLFIX 5/8"" SLAGVAST GRIJS",450,0,450,552,-102
0343,Deposit N4 - B4,"ZADELS 3x5/8""",3500,0,3500,3602,-102
0471,Almacen - O,CP-35 PIN PERSKABELSCHOEN 35MM,0,22,22,124,-102
0604,Deposit N3 - C3,PASMOER 50A,0,0,0,102,-102
0637,Almacen - Z,KSV PATRONEN 100A NH 1,6,2,8,110,-102
3194,Deposit N3 - D3,GLOEILAMP 100WATT CLEAR,102,0,102,204,-102
3230,Deposit N1 - A3,TL ORNEMENT LED 2X9W WD LEEG,0,21,21,123,-102
3230,Deposit N1 - B6,TL ORNEMENT LED 2X9W WD LEEG,21,0,21,123,-102
0565,Almacen - G,MOER PG 48,0,121,121,222,-101
0709,Almacen - H,ATEMA AFDEK PLAAT U 50,0,86,86,187,-101
1024,Deposit N3 - B3,WCD AM INB DUB  R/A       270W,200,0,200,301,-101
1883,Deposit N4 - E4,TFT-400 TORNILLO PARA CAJA,0,107,107,208,-101
0333,Deposit N3 - C7,CADDY KAB-CLIPS 4 -7mm 15-18,2000,0,2000,2100,-100
0360,Almacen - B,CABLE CLIPS  5-7mm,0,200,200,300,-100
0366,Deposit N4 - D10,CABLE CLIPS   9  mm,0,18000,18000,18100,-100
0382,Almacen - N,TYRAPS BRN 200 X 2.5,800,0,800,900,-100
1108,Almacen - Y,WALLPLATE AM D RP 2-V  2150W,0,4,4,104,-100
1116,Almacen - W,WALLPLATE AM DUB SW   952V,70,1,71,171,-100
1403,Almacen - E,BERKER WCD 127V  INB  WD 4202,0,22,22,122,-100
1728,Almacen - K,ETI AUTOMAAT 6KA 3P+N 16A CKAR,0,2,2,102,-100
4012,Almacen - B,RJ 45 CAT 5 E UTP SOCKET 21453,0,4,4,104,-100
7018,Almacen - M,JVM19-63   6A  2P B-TYPE AUTOM,0,4,4,104,-100
7040,Almacen - M,LNC1  20A  2P 1MOD CONTACTOR,2,0,2,102,-100
0112,Deposit N4 - D8,VD DRAAD 10  mm  BLAUW,0,1,1,100,-99
4006,Almacen - C,PULL-CORD PUSH BUTTON 21092,0,13,13,112,-99
1143,Almacen - X,STEK RUB P/A  15A 220V  4866,20,1,21,119,-98
1742,Deposit N2 - B1,ETI  AUTOMAAT6KA 32A 1P+N CKAR,9,0,9,107,-98
3271,Almacen - Z,PICKENS T8 0.6 CM LED9W 6500K,50,16,66,164,-98
0314,Almacen - P,"MOFFEN 1,5""",18,3,21,118,-97
1223,Almacen - E,KOPP WCD EUR DUB R/AOPB 74108,0,28,28,125,-97
4006,Deposit N1 - B7,PULL-CORD PUSH BUTTON 21092,10,5,15,112,-97
3035,Almacen - S,TAPE 20 mtr ZWART,0,3,3,99,-96
0130,Deposit N4 - D15,VDS DRAAD FLEX  1.5mm ZWART,0,4,4,98,-94
0700,Deposit N3 - C9,ATT UNIVERSELE LASDOOS 1619,300,0,300,394,-94
1420,Deposit N2 - C3,BERKER AFDEKRAAM 1V WD 132809,10,0,10,104,-94
3031,Deposit N1 - B6,TAPE 10 mtr ZWART,0,6,6,100,-94
4056,Deposit N1 - B7,Face plate F/2 RJ Connector 2M,0,8,8,102,-94
1216,Almacen - D,"TREKKOORTJE  1,9 mtr",0,8,8,101,-93
0409,Deposit N4 - B2,PERSKABELSCHOEN 2.5 mm  M6,2000,0,2000,2092,-92
0520,Deposit N3 - B9,CENTRAALD 5/8 55mm ONG 165A,0,400,400,492,-92
05421,Deposit N3 - C5,MT/1X 16-19MM Inzetstuk,500,0,500,592,-92
1005,Almacen - V,SCHAK AM WIS INB         1303W,60,38,98,190,-92
1309,Deposit N3 - D7,"AARDKLEM 1/8""",0,34,34,126,-92
3031,Almacen - S,TAPE 10 mtr ZWART,0,8,8,100,-92
4001,Deposit N1 - B5,TWO POLE SWITCH 21021,320,0,320,412,-92
7176,Almacen - E,INSTEEK FLEXIBLE CLE54,0,1,1,93,-92
0101,Deposit N1 - A3,VD DRAAD 1.5 mm  ZWART,291,0,291,382,-91
0451,Deposit N4 - B6,PERSKABELSCHOEN  50  mm  M8,180,0,180,271,-91
0626,Almacen - Z,KSV PATRONEN   50A NH 00,0,1,1,92,-91
1408,Almacen - F,BERKER WIPSCHAK  KRUIS 613037,0,26,26,117,-91
3035,Deposit N1 - B6,TAPE 20 mtr ZWART,0,9,9,99,-90
4056,Almacen - A,Face plate F/2 RJ Connector 2M,0,12,12,102,-90
0361,Deposit N4 - D14,CABLE CLIPS   4  mm,0,45000,45000,45089,-89
1428,Deposit N2 - C3,BERKER DRAAGPL 2-V DATA 454105,40,0,40,129,-89
1131,Deposit N3 - B8,WALLPLATE AM DUB WD  S1962,100,0,100,188,-88
1315,Deposit N3 - D8,VERBINDING RAIL 1x6+1x25 mm,0,4,4,92,-88
0638,Almacen - Z,KSV PATRONEN 125A NH 1,0,1,1,88,-87
0709,Deposit N4 - C8,ATEMA AFDEK PLAAT U 50,100,0,100,187,-87
1927,Almacen - H,DINRAIL TS35/F5 GEPERF-OMEGA,0,23,23,110,-87
4048,Almacen - C,2 CIRCUITS SWITCH 48061 OPB WD,0,5,5,92,-87
4114,Deposit N1 - C2,4 GANG HORIZONTAL FRAME 90940,12,0,12,99,-87
0288,Deposit N1 - C4,KABELGOOT 70x40 mm,5,4,9,95,-86
0429,Deposit N4 - B2,VERBINDINGSBUS 25 mm,1950,0,1950,2036,-86
0505,Deposit N3 - C10,CD/RV RONDE DEKSEL CENTRAL,150,0,150,236,-86
4030,Deposit N1 - B5,SURFACE MOUNTING BOX 10975,8,0,8,94,-86
4031,Deposit N1 - B8,SINGLE FRAME 70910,200,0,200,286,-86
0600,Deposit N3 - C3,PASMOER 16A,1500,0,1500,1585,-85
0324,Deposit N3 - D12,BOCHT PVC  5/8 CRÈME,150,0,150,234,-84
0628,Almacen - Z,KSV PATRONEN   80A NH 00,0,3,3,87,-84
1750,Deposit N2 - B5,ETI  MAGNEET SCHAKELAAR 2P 20A,60,4,64,148,-84
1117,Deposit N3 - B10,WALLPLATE AM TRI SW       953V,200,0,200,283,-83
3202,Deposit N3 - D2,HALOGEENLAMP 1000W 127 VOLT,200,50,250,333,-83
3224,Deposit N1 - B2,TL ORNEMENT LED 1X18W LEEG,11,4,15,98,-83
0612,Deposit N3 - B9,ZEKERING 25A,0,477,477,559,-82
10090,Deposit N3 - B11,SCHAK DUB  WISSEL DECO 7731W,80,0,80,162,-82
1020,Almacen - V,COM SCHAK & WCD 127v -TR274W,0,4,4,86,-82
1523,Almacen - I,"GE AUTO 25A, 4P-2MOD C  UNIBIS",0,12,12,94,-82
4019,Almacen - C,TRIPLE ROCKERS 70661,0,3,3,85,-82
1885,Almacen - P,HH 1042705 C-PROFIEL,0,12,12,93,-81
4027,Almacen - C,COVER PLATE  TELEPHONE 70712,0,32,32,113,-81
1025,Deposit N3 - B3,WCD AM INB EN 220V R/A 1876W,100,0,100,180,-80
1133,Almacen - Y,WALLPLATE AM DEC WD S2966 GRAY,30,8,38,118,-80
19201,Deposit N1 - B3,RAILKOPER VERN 20X5MM,0,0,0,80,-80
3283,Almacen - Z,BALLAST 1x40W STARTER,0,11,11,91,-80
7189,Almacen - P,KABEL DOOS 665 ROND  70 X 35,0,1,1,81,-80
0426,Deposit N4 - B2,VERBINDINGSBUS  6 mm,2400,0,2400,2479,-79
0542,Deposit N3 - C11,MT/2X 16-19MM Inzetstuk,400,0,400,479,-79
1135,Almacen - W,WALLPLATE OPEN 5/8,0,6,6,85,-79
4030,Almacen - C,SURFACE MOUNTING BOX 10975,0,15,15,94,-79
0604,Almacen - Z,PASMOER 50A,25,1,26,102,-76
1030,Deposit N3 - B12,WCD AM OPB DUB R/A         78W,600,0,600,676,-76
1161,Almacen - Z,PHOTOCEL 220 VOLT A-1068W,5,0,5,81,-76
1315,Almacen - Q,VERBINDING RAIL 1x6+1x25 mm,0,16,16,92,-76
3293,Deposit N3 - A2,STARTERHOUDER CLIP     125-5,100,0,100,176,-76
7014,Deposit N2 - C5,JVM16 -32  20A 1P+N C-TYPE AUT,0,49,49,125,-76
0317,Almacen - M,"BOCHT 1,5""",0,22,22,97,-75
0446,Deposit N4 - B6,PERSKABELSCHOEN  95  mm  M10,240,0,240,315,-75
0519,Deposit N3 - E,CENTRAALDOOS ROND 100MM C100,200,0,200,275,-75
0646,Almacen - Z,KSV PATRONEN 630A NH 3,0,1,1,76,-75
3496,Almacen - K,ETI 3901476 GR VS4 YELLO/GR,0,28,28,103,-75
4017,Deposit N1 - B5,ROCKER FOR SWITCHES 70601,800,0,800,875,-75
1549,Deposit N2 - B5,"GE  AUTOMAAT 16A, 2POL B-KAR",186,0,186,260,-74
4049,Almacen - B,TWO WAY SWITCH 48071 OPB WD,0,9,9,83,-74
4109,Deposit N1 - C3,COVER PLATE SCHUKO SOCKET90634,40,0,40,114,-74
7013,Deposit N2 - C5,JVM16 -32  16A 1P+N C-TYPE AUT,0,185,185,259,-74
0116,Deposit N4 - D16,VD DRAAD 16  mm  GR/GL,0,1,1,74,-73
7030,Almacen - M,JVM16-63 16A 3P+N C-TYPE AUTOM,0,1,1,74,-73
0513,Deposit N3 - C10,INBOUWDS HOLLEWAND 16/19,360,0,360,431,-71
1412,Deposit N2 - C3,BERKER AFDEKRAAM  2V  10128989,7,0,7,78,-71
1731,Almacen - L,ETI AUTOMAAT 6KA 3P+N 40A CKAR,0,1,1,72,-71
7034,Almacen - M,JVM16 -63 50A 3P+N C-TYPE AUTO,0,2,2,73,-71
7038,Almacen - M,JVM 65-125 125A 3P+N C-TYPE,0,4,4,75,-71
0322,Deposit N3 - D10,"BUISBEVESTIGING 1.5"" POLFIX",200,0,200,270,-70
0558,Deposit N4 - B12,PG+MOER M50,200,0,200,270,-70
1399,Almacen - F,BERKER WIPSCHA 2X/WIS 61303808,0,11,11,81,-70
1404,Deposit N2 - C3,BERKER WIPPENSCHAK 3x1P 633023,60,0,60,130,-70
1428,Almacen - F,BERKER DRAAGPL 2-V DATA 454105,0,59,59,129,-70
1753,Almacen - L,ETI  MAGNEET SCHAKELAAR 4P 63A,0,3,3,73,-70
04331,Deposit N4 - B2,VERBINDINGSBUS 120 mm,160,0,160,229,-69
0533,Deposit N3 - C12,MONTAGEDKSL (uni lasdoos) 3543,260,0,260,329,-69
1412,Almacen - E,BERKER AFDEKRAAM  2V  10128989,0,9,9,78,-69
